,id,title
0,862,Toy Story
1,8844,Jumanji
2,15602,Grumpier Old Men
3,31357,Waiting to Exhale
4,11862,Father of the Bride Part II
5,949,Heat
6,11860,Sabrina
7,45325,Tom and Huck
8,9091,Sudden Death
9,710,GoldenEye
10,9087,The American President
11,12110,Dracula: Dead and Loving It
12,21032,Balto
13,10858,Nixon
14,1408,Cutthroat Island
15,524,Casino
16,4584,Sense and Sensibility
17,5,Four Rooms
18,9273,Ace Ventura: When Nature Calls
19,11517,Money Train
20,8012,Get Shorty
21,1710,Copycat
22,9691,Assassins
23,12665,Powder
24,451,Leaving Las Vegas
25,16420,Othello
26,9263,Now and Then
27,17015,Persuasion
28,902,The City of Lost Children
29,37557,Shanghai Triad
30,9909,Dangerous Minds
31,63,Twelve Monkeys
32,78802,Wings of Courage
33,9598,Babe
34,47018,Carrington
35,687,Dead Man Walking
36,139405,Across the Sea of Time
37,33689,It Takes Two
38,9603,Clueless
39,34615,"Cry, the Beloved Country"
40,31174,Richard III
41,11443,Dead Presidents
42,35196,Restoration
43,9312,Mortal Kombat
44,577,To Die For
45,11861,How To Make An American Quilt
46,807,Se7en
47,10530,Pocahontas
48,8391,When Night Is Falling
49,629,The Usual Suspects
50,117164,Guardian Angel
51,11448,Mighty Aphrodite
52,49133,Lamerica
53,26441,The Big Green
54,97406,Georgia
55,124057,Kids of the Round Table
56,9089,Home for the Holidays
57,11010,The Postman
58,99040,The Confessional
59,11359,The Indian in the Cupboard
60,17182,Eye for an Eye
61,2054,Mr. Holland's Opus
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
63,19760,Two If by Sea
64,9536,Bio-Dome
65,11525,Lawnmower Man 2: Beyond Cyberspace
66,40628,Two Bits
67,4482,French Twist
68,10634,Friday
69,755,From Dusk Till Dawn
70,11859,Fair Game
71,28387,Kicking and Screaming
72,48750,Les Miserables
73,20927,Bed of Roses
74,36929,Big Bully
75,9102,Screamers
76,124626,Nico Icon
77,27526,The Crossing Guard
78,9623,The Juror
79,46785,The White Balloon
80,400,Things to Do in Denver When You're Dead
81,880,Antonia's Line
82,146599,Once Upon a Time... When We Were Colored
83,188588,Last Summer in the Hamptons
84,8447,Angels and Insects
85,10534,White Squall
86,17414,Dunston Checks In
87,13997,Black Sheep
88,2086,Nick of Time
89,61548,The Journey of August King
90,9095,Mary Reilly
91,12158,Vampire in Brooklyn
92,9283,Beautiful Girls
93,9208,Broken Arrow
94,40154,A Midwinter's Tale
95,406,La Haine
96,45549,Shopping
97,63076,Heidi Fleiss: Hollywood Madam
98,11062,City Hall
99,13685,Bottle Rocket
100,47475,Mr. Wrong
101,2045,Unforgettable
102,9614,Happy Gilmore
103,688,The Bridges of Madison County
104,11907,Nobody Loves Me
105,10874,Muppet Treasure Island
106,89333,Catwalk
107,96357,Headless Body in Topless Bar
108,197,Braveheart
